⁨DATA_MODELS_UP,,,,,,
id_Sim,Model ,City,Economic,Hospitalize,Deceased ,Rt
2,Lockdown & Vaccination,Holon,1645549744,1113,208,1.0
3,Lockdown & Vaccination,Holon,1737008996,1141,263,0.8
4,Lockdown & Vaccination,Holon,1582742740,1161,148,0.7
5,Lockdown & Vaccination,Holon,1601374794,976,256,0.8
6,Lockdown & Vaccination,Holon,1736572632,1321,191,0.8
7,Lockdown & Vaccination,Holon,1598357451,947,157,0.6
8,Lockdown & Vaccination,Holon,1600673878,985,247,0.7
9,Lockdown & Vaccination,Holon,1852909156,641,133,0.5
10,Lockdown & Vaccination,Holon,1800162643,705,133,0.7
11,Lockdown & Vaccination,Holon,1821809664,1289,239,0.9
12,Lockdown & Vaccination,Holon,1886185208,891,200,1.0
13,Lockdown & Vaccination,Holon,1907106529,933,227,0.9
14,Lockdown & Vaccination,Holon,1402752786,646,256,0.8
15,Lockdown & Vaccination,Holon,1892320921,880,193,0.9
16,Lockdown & Vaccination,Holon,1923403752,1056,301,0.9
17,Lockdown & Vaccination,Holon,1775833210,543,167,0.8
18,Lockdown & Vaccination,Holon,1584498200,773,264,0.6
19,Lockdown & Vaccination,Holon,1779420064,621,106,0.9
20,Lockdown & Vaccination,Holon,1995200814,959,177,1.0
21,Lockdown & Vaccination,Holon,1858840081,744,277,1.1
22,Lockdown & Vaccination,Holon,1830095411,842,90,1.0
23,Lockdown & Vaccination,Holon,1916400021,592,93,0.6
24,Lockdown & Vaccination,Holon,1794442001,1099,188,1.1
25,Lockdown & Vaccination,Holon,2004983310,1642,98,1.0
26,Lockdown & Vaccination,Holon,1684332108,699,32,0.9
27,Lockdown & Vaccination,Holon,1488003794,744,47,0.8
28,Lockdown & Vaccination,Holon,1844321009,599,102,0.9
29,Lockdown & Vaccination,Holon,1933306418,632,64,0.9
30,Lockdown & Vaccination,Holon,1884398321,432,76,0.9
1,Lockdown & Vaccination,Bene Beraq,1603047516,279,73,0.4
2,Lockdown & Vaccination,Bene Beraq,1594036108,270,25,0.6
3,Lockdown & Vaccination,Bene Beraq,1806782487,331,87,1.1
4,Lockdown & Vaccination,Bene Beraq,1860011118,296,77,0.9
5,Lockdown & Vaccination,Bene Beraq,1842488262,340,78,0.7
6,Lockdown & Vaccination,Bene Beraq,1854748780,243,87,0.8
7,Lockdown & Vaccination,Bene Beraq,1743529963,250,55,0.7
8,Lockdown & Vaccination,Bene Beraq,1854780792,281,72,0.5
9,Lockdown & Vaccination,Bene Beraq,1742020984,359,79,0.9
10,Lockdown & Vaccination,Bene Beraq,1691655591,306,68,0.8
11,Lockdown & Vaccination,Bene Beraq,1784137297,275,75,0.8
12,Lockdown & Vaccination,Bene Beraq,1822287078,339,67,0.6
13,Lockdown & Vaccination,Bene Beraq,1666396690,109,62,0.9
14,Lockdown & Vaccination,Bene Beraq,1727030110,181,43,0.9
15,Lockdown & Vaccination,Bene Beraq,1888805073,159,87,1.0
16,Lockdown & Vaccination,Bene Beraq,1479932705,455,50,0.8
17,Lockdown & Vaccination,Bene Beraq,1336984305,511,109,0.9
18,Lockdown & Vaccination,Bene Beraq,1596642970,386,94,0.9
19,Lockdown & Vaccination,Bene Beraq,1853995134,333,69,1.0
20,Lockdown & Vaccination,Bene Beraq,1809943831,452,49,0.8
21,Lockdown & Vaccination,Bene Beraq,1894409214,593,128,1.0
22,Lockdown & Vaccination,Bene Beraq,1774391004,488,41,0.9
23,Lockdown & Vaccination,Bene Beraq,1665351985,483,65,0.9
24,Lockdown & Vaccination,Bene Beraq,1725969611,238,31,0.7
25,Lockdown & Vaccination,Bene Beraq,1840084187,388,76,1.0
26,Lockdown & Vaccination,Bene Beraq,1752300951,198,19,0.9
27,Lockdown & Vaccination,Bene Beraq,1889322750,295,106,1.1
28,Lockdown & Vaccination,Bene Beraq,1593396286,377,89,0.9
29,Lockdown & Vaccination,Bene Beraq,1688935040,537,42,0.8
30,Lockdown & Vaccination,Bene Beraq,1799081543,277,59,0.9
