strategy,day,critical,deceased,reward,economic_index
Bene-Beraq_ASCENDING_1.0,87,36,7,103384019.41688000,1826119477.1600000
Bene-Beraq_ASCENDING_1.0,88,36,7,154076582.13084900,1851799311.1600000
Bene-Beraq_ASCENDING_1.0,89,36,7,102064274.4491480,1877316005.1600000
Bene-Beraq_ASCENDING_1.0,90,36,7,101517303.73577800,1902695973.1600000
Bene-Beraq_ASCENDING_1.0,91,36,7,100878257.79210000,1927916199.1600000
Bene-Beraq_ASCENDING_1.0,92,38,7,50168516.54936520,1953001813.1600000
Bene-Beraq_ASCENDING_1.0,93,39,7,49970452.4194787,1977988419.1600000
Bene-Beraq_ASCENDING_1.0,94,41,7,49732186.66361490,2002855921.1600000
Bene-Beraq_ASCENDING_1.0,95,42,7,99020248.25010430,2027611701.1600000
Bene-Beraq_ASCENDING_1.0,96,42,7,98641641.99193560,2052272841.1600000
Bene-Beraq_ASCENDING_1.0,97,48,7,49128800.66962580,2076838723.1600000
Bene-Beraq_ASCENDING_1.0,98,50,7,97870685.47559810,2101307147.1600000
Bene-Beraq_ASCENDING_1.0,99,50,7,97556095.10538310,2125696933.1600000
Bene-Beraq_ASCENDING_1.0,100,51,7,97310185.29159220,2150025249.16
Bene-Beraq_ASCENDING_1.0,101,52,8,97074565.08213100,2174294667.16
Bene-Beraq_ASCENDING_1.0,102,55,8,96744157.24128050,2198481493.16
Bene-Beraq_ASCENDING_1.0,103,53,8,48290525.45454930,2222628339.16
Bene-Beraq_ASCENDING_1.0,104,55,8,96458506.48080690,2246743761.16
Bene-Beraq_ASCENDING_1.0,105,59,9,96231623.87567520,2270802469.16
Bene-Beraq_ASCENDING_1.0,106,56,10,96089142.2280501,2294825561.16
Bene-Beraq_ASCENDING_1.0,107,59,11,95867460.1576949,2318793239.16
Bene-Beraq_ASCENDING_1.0,108,60,13,95811590.14145910,2342746951.16
Bene-Beraq_ASCENDING_1.0,109,61,13,95841906.01858880,2366708241.16
Bene-Beraq_ASCENDING_1.0,110,67,13,95873630.9652716,2390677461.16
Bene-Beraq_ASCENDING_1.0,111,67,13,94986202.80672110,2414424851.16
Bene-Beraq_ASCENDING_1.0,112,67,13,94165854.66981830,2437967179.16
Bene-Beraq_ASCENDING_1.0,113,67,13,93422676.02519870,2461323735.16
Bene-Beraq_ASCENDING_1.0,114,67,13,92729919.530509,2484507123.16
Bene-Beraq_ASCENDING_1.0,115,67,13,138055958.9021250,2507517069.16
Bene-Beraq_ASCENDING_1.0,116,67,13,136938608.12381100,2530340805.16
Bene-Beraq_ASCENDING_1.0,117,67,13,135879786.02479200,2552988085.16
Bene-Beraq_ASCENDING_1.0,118,67,13,134872916.070291,2575467567.16
Bene-Beraq_ASCENDING_1.0,119,67,13,133864078.11579000,2597778923.16
Bene-Beraq_ASCENDING_1.0,120,67,13,88633667.91554810,2619938373.16
Bene-Beraq_ASCENDING_1.0,121,67,13,88071351.3304598,2641957261.16
Bene-Beraq_ASCENDING_1.0,122,68,13,87498793.67581850,2663833027.16
Bene-Beraq_ASCENDING_1.0,123,68,13,86990627.77543660,2685581767.16
Bene-Beraq_ASCENDING_1.0,124,68,13,86627367.38898570,2707239703.16
Bene-Beraq_ASCENDING_1.0,125,69,13,86311961.01877070,2728818797.16
Bene-Beraq_ASCENDING_1.0,126,71,13,43040701.878862400,2750341369.16
Bene-Beraq_ASCENDING_1.0,127,75,13,85887694.34869570,2771814409.16
Bene-Beraq_ASCENDING_1.0,128,76,13,85805548.58902430,2793266915.16
Bene-Beraq_ASCENDING_1.0,129,77,13,85598003.45452800,2814667541.16
Bene-Beraq_ASCENDING_1.0,130,79,13,85473388.61447960,2836037017.16
Bene-Beraq_ASCENDING_1.0,131,84,13,85391491.52327880,2857386021.16
Bene-Beraq_ASCENDING_1.0,132,87,13,85317578.96685460,2878716549.16
Bene-Beraq_ASCENDING_1.0,133,92,13,85359985.1167845,2900057677.16
Bene-Beraq_ASCENDING_1.0,134,93,14,85426897.8069029,2921415531.16
Bene-Beraq_ASCENDING_1.0,135,94,14,85596422.66318710,2942815761.16
